placetype_subject,geometry_type_subject,placetype_object,geometry_type_object,Sentence,place_name_subject,place_name_object,vernacular_relation,spatial_relation,relation_predicate
city,Polygon,city,MultiPolygon,"""Situated roughly midway between Los Angeles and San Diego, San Clemente is a popular tourist destination in Southern California, known for its beaches, Spanish Colonial Revival architecture, and hospitality industry.""","San Clemente, California","San Diego, California",midway between,disjoint,is midway between C and
city,Polygon,city,MultiPolygon,Whitehall is situated on the former Green Bay and Western Railroad midway between La Crosse and Eau Claire.,"Whitehall,wisconsin","la crosse,wisconsin",midway between,disjoint,is midway between C and
city,Polygon,city,MultiPolygon,Whitehall is situated on the former Green Bay and Western Railroad midway between La Crosse and Eau Claire.,"Whitehall,wisconsin","eau claire ,wisconsin",midway between,disjoint,is midway between C and
city,Polygon,city,Polygon,"""Situated roughly midway between Los Angeles and San Diego, San Clemente is a popular tourist destination in Southern California, known for its beaches, Spanish Colonial Revival architecture, and hospitality industry.""","San Clemente, California","Los Angeles, California",midway between,disjoint,is midway between C and
city,Polygon,city,MultiPolygon,Midland was founded as the midway point between Fort Worth and El Paso on the Texas and Pacific Railroad in 1881,"Midland,Midland County, Texas","El Paso,texas",midway between,disjoint,is midway between C and
city,Polygon,city,MultiPolygon,Midland was founded as the midway point between Fort Worth and El Paso on the Texas and Pacific Railroad in 1882,"Midland,Midland County, Texas","Fort Worth, Texas",midway between,disjoint,is midway between C and
city,Polygon,county,Polygon,mostly in,"Columbus,wisconsin","columbia,wisconsin",mostly in,overlaps,is mostly in
city,Polygon,municipality,Polygon,mostly within,"Mondovi,wisconsin","town of mondovi,wisconsin",mostly in,touches,is mostly in
city,MultiPolygon,municipality,MultiPolygon,mostly within the boundaries of,"Medford,wisconsin","town of medford ,wisconsin",mostly in,touches,is mostly in
town,Polygon,municipality,Polygon,mostly within,"Berlin,wisconsin","town of berlin,wisconsin",mostly in,touches,is mostly in
city,MultiPolygon,county,Polygon,mostly in,"Menasha,wisconsin","winnebago county,wisconsin",mostly in,overlaps,is mostly in
city,MultiPolygon,municipality,MultiPolygon,mostly within,"Weyauwega,wisconsin","town of weyauwega,wisconsin",mostly in,touches,is mostly in
city,MultiPolygon,county,Polygon,mostly located in,"Eau Claire,wisconsin","eau claire county,wisconsin",mostly in,overlaps,is mostly in
town,MultiPolygon,county,Polygon,"The city is mostly in Fort Bend County, with a small portion in Harris County. ","Missouri City,texas","Fort Bend County,texas",mostly in,overlaps,is mostly in
village,Polygon,county,Polygon,"The city is mostly in Fort Bend County, with a small part in Harris County. ","Stafford,Texas","Fort Bend County,texas",mostly in,overlaps,is mostly in
suburb,Polygon,city,MultiPolygon,"Greater Greenspoint, also referred to as the North Houston District, is a 7-square-mile (18 km2) business district and a suburban neighborhood in northern Harris County, Texas, United States, located mostly within the city limits of Houston","Greater Greenspoint,Texas","Houston,texas",mostly in,overlaps,is mostly in
city,Polygon,city,Polygon,"""Located near the county seat of Belton, Temple lies in the region referred to as Central Texas and is a principal city in the Killeen‚ÄìTemple‚ÄìFort Hood metropolitan area, which as of 2015 had a population of 450,051.""","Temple, Texas","Belton, Texas",near,touches,is near
town,Polygon,water,Polygon,near,"Oconomowoc,wisconsin","oconomowoc lake ,wisconsin",near,touches,is near
town,Polygon,city,Polygon,"""Lynwood is located near South Gate and Compton in the central portion of the Los Angeles Basin.""","Lynwood, California","Compton, California",near,touches,is near
town,Polygon,city,Polygon,"""Lynwood is located near South Gate and Compton in the central portion of the Los Angeles Basin.""","Lynwood, California","South Gate, California",near,touches,is near
village,Polygon,river,LineString,"""Smithville is a city in Bastrop County, Texas, United States, near the Colorado River.""","Smithville, Texas","Colorado River, Texas",near,crosses,is near
village,Polygon,river,LineString,"""La Grange is a city in Fayette County, Texas, United States, near the Colorado River.""","La Grange, Texas","Colorado River, Texas",near,crosses,is near
city,Polygon,city,Polygon,"""Surfside Beach, also known locally as Surfside, is a city in Brazoria County, Texas, United States, that is situated on Follet's Island by the Gulf of Mexico near the city of Freeport.""","Surfside Beach, Texas","Freeport, Texas",near,touches,is near
park,Polygon,water,Polygon,"""The Irwindale Event Center is also located in the city, as is the Santa Fe Dam Recreation Area near the San Gabriel River, a plant of the Miller Brewing Company, and a plant of the Huy Fong Foods sriracha sauce company.""","Santa Fe Dam Recreation Area, California","San Gabriel River, California",near,crosses,is near
town,Polygon,aeroway,Polygon,"""Lompoc is often considered a military town because it is near Vandenberg Space Force Base.""","Lompoc, California","Vandenberg Space Force Base, California",near,touches,is near
village,Polygon,spaceport,Polygon,"""In 2017, Converse proposed the annexation of 12 mi2 of territory near Randolph Air Force Base in northeastern Bexar County.""","Converse, Texas","Randolph Air Force Base, Texas",near,touches,is near
city,Polygon,water,Polygon,"""Lakewood Village is a town in Denton County, Texas, United States located near Lewisville Lake.""","Lakewood Village, Texas","Lewisville Lake, Texas",near,touches,is near
town,Polygon,amenity,MultiPolygon,"""It is known for being near the University of California, Santa Barbara, campus.""","Goleta, California","University of California, Santa Barbara, California",near,touches,is near
city,MultiPolygon,protected_area,MultiPolygon,near,"Baraboo,wisconsin","devil's lake state park,wisconsin",near,disjoint,is near
city,Polygon,nature_reserve,MultiPolygon,near,"Whitewater,wisconsin","kettle moraine state forest,wisconsin",near,disjoint,is near
city,Polygon,city,Polygon,"""Other newer cities nearby‚ÄîLaguna Niguel and Laguna Woods‚Äîare similarly named.""","Laguna Niguel, California","Laguna Woods, California",nearby,disjoint,is near
city,MultiPolygon,city,MultiPolygon,"""The cities of Dallas and nearby Fort Worth were initially developed due to the construction of major railroad lines through the area allowing access to cotton, cattle and later oil in North and East Texas.""","Dallas, Texas","Fort Worth, Texas",nearby,disjoint,is near
city,MultiPolygon,tourism,Polygon,"""It is home to several waterside resorts, such as South Shore Harbor Resort and Conference Center and Waterford Harbor and Yacht Club Marina, popular with residents of nearby Houston.""","Houston, Texas","none, Texas",nearby,disjoint,is near
town,Polygon,town,Polygon,"""Dublin was the boyhood home of legendary golfer Ben Hogan, who was born on August 13, 1912, at the hospital in nearby Stephenville.""","Stephenville, Texas","Dublin, Texas",nearby,disjoint,is near
village,Polygon,city,MultiPolygon,neighborhood,"allouez,wisconsin","Superior,wisconsin",neighborhood of,contains,is neighboring
grass,Polygon,city,MultiPolygon,neighborhood,"central park,wisconsin","Superior,wisconsin",neighborhood of,contains,is neighboring
city,Polygon,protected_area,Polygon,"""Known as the 'Pride of the Foothills', Glendora is nestled in the foothills of the San Gabriel Mountains.""","Glendora, California","San Gabriel Mountains, California",nestled in the foothills of,overlaps,nestled in the foothills of
city,Polygon,city,Polygon,"""It is located next to the city of Calabasas.""","Hidden Hills, California","Calabasas, California",next to,disjoint,is next to
tourism,Polygon,water,MultiPolygon,"""The city is located next to Lake Travis.""","The city, Texas","Lake Travis, Texas",next to,disjoint,is next to
city,Polygon,aeroway,Polygon,"""The city's name is given to the Port Isabel Detention Center, 12 miles (19 km) to the northwest next to the Port Isabel-Cameron County Airport.""","Port Isabel, Texas","Port Isabel-Cameron County Airport, Texas",next to,disjoint,is next to
city,MultiPolygon,city,Polygon,"""The city is located next to the county seat, Santa Ana, and does not include the unincorporated community of North Tustin.""","Tustin, California","Santa Ana, California",next to,touches,is next to
town,Polygon,water,LineString,"""It is on the North Bosque River, which forms nearby.""","Stephenville, Texas",North Bosque River,on,crosses,is on
city,Polygon,river,LineString,"""It is on the upper Sacramento River in the Trinity Mountains.""","Dunsmuir, California","Sacramento River, California",on,crosses,is on
city,Polygon,industrial,LineString,"It is on California State Route 1 between Monterey and Santa Cruz and sits at an elevation of 43 feet (13 m).,Monterey,between,Santa Cruz.","Marina,California",State Route 1,on,crosses,is on
city,MultiPolygon,water,Polygon,"""Portola is located on the Middle Fork of the Feather River and was named after Spanish explorer Gaspar de Portol‚àö¬∞, although he did not explore this area.""","Portola, California","Feather River, California",on,disjoint,is on
city,Polygon,highway,LineString,"""Stamford is on U.S. Highway 277 and State Highway 6.""","Stamford, Texas","US Highway 277 and State Highway 6, Texas",on,crosses,is on
tourism,Polygon,highway,LineString,"""The city is on Texas State Highway 31.""","the city, Texas","Texas State Highway 31, Texas",on,crosses,is on
city,Polygon,water,LineString,on,"Columbus,wisconsin","crawfish river,wisconsin",on,crosses,is on
town,Polygon,town,Polygon,"""Burlingame on its southeast.""","Millbrae, California","Burlingame, California",on direction,touches,on direction
city,Polygon,water,LineString,"""It is in the valley on the west bank of the Pecos River at the eastern edge of the Chihuahuan Desert, in the Trans-Pecos region of West Texas and just south of New Mexico's border.""","Pecos, Texas","Pecos River,",on the bank of,disjoint,is on the bank of
city,Polygon,water,LineString,"""Red Bluff is situated on the banks of the upper Sacramento River.""","Red Bluff, California","Sacramento River, California",on the banks of,crosses,is on the bank of
town,Polygon,water,LineString,"""Bell is located on the west bank of the Los Angeles River and is a suburb of the city of Los Angeles.""","Bell, California","Los Angeles River, California",on the banks of,crosses,is on the bank of
city,Polygon,county,Polygon,"""Stamford is a city on the border of Jones and Haskell Counties in west-central Texas.""","Stamford, Texas","Jones and Haskell Counties, Texas",on the border of,overlaps,is on the shore of
city,Polygon,county,MultiPolygon,"""Upland is a city in San Bernardino County, California, United States on the border with is neighboring Los Angeles County.""","Upland, California","Los Angeles County, California",on the border with,touches,share border with
city,Polygon,county,MultiPolygon,"""Westlake Village is a city in Los Angeles County on its western border with Ventura County.""","Westlake Village, California","Ventura County, California",on the border with,touches,share border with
city,Polygon,residential,Polygon,"""Oceanside is a city on the South Coast of California, located in San Diego County.""","Oceanside, California","California, California",on the coast of,disjoint,on the coast of
water,Polygon,county,Polygon,"""Colusi originates from the local Coru Native American tribe, who in the 1840s lived on the opposite side of the Sacramento River.""","Sacramento River, California","Colusa, California",on the opposite side of,disjoint,on the opposite side of
city,Polygon,county,Polygon,"""Mobile City is a city in Rockwall County, Texas, United States on the outskirts of Rockwall.""","Mobile City, Texas","Rockwall, Texas",on the outskirts of,within,on the outskirts of
bay,Polygon,city,MultiPolygon,"""Located on the southern shore of the Carquinez Strait, the city's population was 38,290 at the 2020 census.""","Carquinez Strait, California","Martinez, California",on the shore of,overlaps,on the shore of
city,Polygon,water,Polygon, It is located on the shore of Lake Michigan at the mouth of the Root River,"Racine,wisconsin",lake michigan,on the shore of,overlaps,on the shore of
town,Polygon,bay,Polygon,"""Albany (/Àà…îÀêlb…ôni/ AWL-b…ô-nee) is a city on the east shore of San Francisco Bay in northwestern Alameda County, California.""","Albany, California","San Francisco Bay, California",on the shore of,overlaps,on the shore of
water,Polygon,city,MultiPolygon,"""Lakeport is on the western shore of the county namesake, Clear Lake, at an elevation of 1,355 feet (413 m).""","Clear Lake, California","Lakeport, California",on the shore of,overlaps,on the shore of
bay,Polygon,city,MultiPolygon,"""Located on the shores of San Pablo Bay, the city had a population of 126,090 at the 2020 census.""","San Pablo Bay, California","Vallejo, California",on the shore of,overlaps,on the shore of
city,Polygon,water,Polygon,"Established as a city in 1888, it is on the shore of Lake Elsinore, a natural freshwater lake about 3,000 acres (1,200 ha) in size",Lake Elsinore,Lake Elsinore,on the shore of,within,on the shore of
city,Polygon,park,Polygon,"""Canadian is on the eastern side of the Texas Panhandle, close to the border with Oklahoma.""","Canadian, Texas","Texas Panhandle, Texas",on the side of,disjoint,on the side of
city,Polygon,water,Polygon,"""Located on the west side of Cedar Creek Lake, it is a popular second home and retiree destination.""","Tool, Texas",Cedar Creek Lake,on the side of,touches,on the side of
city,MultiPolygon,city,Polygon,"""KTVT, Channel 11 in Fort Worth operates a 1 million watt doppler radar in Willow Park.""","Fort Worth, Texas","Willow Park, Texas",operates in,disjoint,operates in
city,MultiPolygon,leisure,Polygon,"""The primary border crossing between San Diego and Tijuana, the San Ysidro Port of Entry, is the busiest international land border crossing in the world outside of Asia (fourth-busiest overall).""","San Diego, California","Asia, California",outside of,disjoint,outside of
city,Polygon,highway,LineString,"""First formally settled in the mid-1890s, Katy was a railroad town along the Missouri‚ÄìKansas‚ÄìTexas (MKT) Railroad which ran parallel to U.S. Route 90 (today Interstate 10) into downtown Houston.""","Katy, Texas","US Route 90, Texas",parallel to,crosses,parallel to
city,MultiPolygon,amenity,Polygon,Appleton is a part of the Fox Cities metropolitan area,"Appleton,wisconsin","Appleton metropolitan area(Calumet, Outagamie)",part of,within,is part of
town,Polygon,bay,Polygon,"""El Cerrito (Spanish for 'The Little Hill') is a city in Contra Costa County, California, United States, and forms part of the San Francisco Bay Area.""","El Cerrito, California",San Francisco Bay California,part of,disjoint,is part of
city,Polygon,aeroway,Polygon,"""Poway is considered part of San Diego's North County.""","Poway, California","San Diego County, California",part of,disjoint,is part of
city,MultiPolygon,building,Polygon,part of,"River Falls,wisconsin","Minneapolis-St. Paul metropolitan area(Wisconsin Counties: Pierce, St. Croix, Minnesota Counties: Anoka, Carver, Chisago, Dakota, Hennepin, Isanti, Le Sueur, Mille Lacs, Pierce, Ramsey, Scott, Sherburne, Sibley, Washington, Wright)",part of,overlaps,is part of
city,Polygon,city,MultiPolygon,Colby is a city in Clark and Marathon counties in the U.S. state of Wisconsin,"Colby,wisconsin","Wausau, Wisconsin Metropolitan Statistical Area.(Marathon county)",part of,overlaps,is part of
city,MultiPolygon,city,MultiPolygon,Marshfield is a city in northwest Wood and southwest Marathon counties in the U.S. state of Wisconsin,"Marshfield,wisconsin",Wausau Metropolitan Statistical Area(Marathon),part of,overlaps,is part of
city,Polygon,city,MultiPolygon,part of,"Algoma,wisconsin","Green Bay Metropolitan Statistical Area(Brown, Kewaunee, Oconto)",part of,within,is part of
city,Polygon,city,MultiPolygon,part of,"De Pere,wisconsin","Green Bay Metropolitan Statistical Area(Brown, Kewaunee, Oconto)",part of,within,is part of
city,MultiPolygon,city,MultiPolygon,part of,"Kaukauna,wisconsin","Appleton,Wisconsin Metropolitan Statistical Area(Calumet, Outagamie)",part of,within,is part of
city,Polygon,city,MultiPolygon,part of,"Mosinee,wisconsin",Wausau Metropolitan Statistical Area(Marathon),part of,within,is part of
city,MultiPolygon,city,MultiPolygon,part of,"Oconto Falls,wisconsin","Green Bay Metropolitan Statistical Area(Brown, Kewaunee, Oconto)",part of,within,is part of
city,Polygon,city,MultiPolygon,part of,"Stoughton,wisconsin","Madison Metropolitan Statistical Area(Columbia, Dane, Green, Iowa)",part of,within,is part of
city,Polygon,commercial,Polygon,part of,"Onalaska,wisconsin"," La Crosse-Onalaska, WI-MN Metropolitan Area(Wisconsin County: La Crosse, Minnesota County: Houston)",part of,within,is part of
town,MultiPolygon,county,Polygon,part of,"West Allis,wisconsin","milwaukee county,wisconsin",part of,within,is part of
city,MultiPolygon,island,Polygon,part of,"Kenosha,wisconsin","Chicago metropolitan area(Wisconsin County: Kenosha, Illinois Counties: Cook, DeKalb, DuPage, Grundy, Kane, Kendall, Lake, McHenry, Will, Indiana Counties: Jasper, Lake, Newton, Porter)",part of,within,is part of
city,Polygon,city,MultiPolygon,part of,"Schofield,wisconsin",Wausau Metropolitan Statistical Area(Marathon),part of,within,is part of
water,Polygon,town,Polygon,"""The Los Angeles River forms part of its southwestern boundary, and the Rio Hondo separates it from Downey.""","Los Angeles River, California","Commerce, California",part of its boundary,disjoint,part of its boundary
city,MultiPolygon,county,Polygon,"Of this, 1,665 were in Clark County, and 610 were in Marathon County","Abbotsford,wisconsin","clark county,wisconsin",part of the population in,overlaps,has part of the population in
city,MultiPolygon,county,Polygon,"Of this, 1,665 were in Clark County, and 610 were in Marathon County","Abbotsford,wisconsin","marathon county ,wisconsin",part of the population in,overlaps,has part of the population in
city,Polygon,county,Polygon,"3,203 were in Green County, and only 90 were in Rock Count","Brodhead,wisconsin","green county,wisconsin",part of the population in,overlaps,has part of the population in
city,Polygon,county,Polygon,"3,602 of the population in","Stanley,wisconsin","chippewa county,wisconsin",part of the population in,overlaps,has part of the population in
city,Polygon,county,Polygon,"14,674 of the population in","Watertown,wisconsin","jefferson ,wisconsin",part of the population in,overlaps,has part of the population in
city,Polygon,county,Polygon,"8,252 of the population in","Watertown,wisconsin","dodge county,wisconsin",part of the population in,overlaps,has part of the population in
city,Polygon,county,Polygon,6 of the population in,"Stanley,wisconsin","clark county ,wisconsin",part of the population in,overlaps,has part of the population in
city,MultiPolygon,county,Polygon,"40,451 of the population in","New London,wisconsin","waupaca county,wisconsin",part of the population in,overlaps,has part of the population in
city,MultiPolygon,county,Polygon,"1,640 of the population in","New London,wisconsin","outagamie county,wisconsin",part of the population in,overlaps,has part of the population in
town,Polygon,county,Polygon,89 of the population in,"Berlin,wisconsin","waushara,wisconsin",part of the population in,overlaps,has part of the population in
city,MultiPolygon,county,Polygon,810 of the population in,"Marshfield,wisconsin","marathon county,wisconsin",part of the population in,overlaps,has part of the population in
city,MultiPolygon,county,Polygon,"18,119 of the population in","Marshfield,wisconsin","wood county,wisconsin",part of the population in,overlaps,has part of the population in
city,Polygon,county,Polygon,146 of the population in,"Edgerton,wisconsin","dane county,wisconsin",part of the population in,overlaps,has part of the population in
city,Polygon,county,Polygon,"1,877 of the population in","Cuba City,wisconsin","grant county,wisconsin",part of the population in,overlaps,has part of the population in
city,Polygon,county,Polygon,498 of the population in,"Colby,wisconsin","marathon county,wisconsin",part of the population in,overlaps,has part of the population in
city,Polygon,county,Polygon,"1,354 of the population in ","Colby,wisconsin","clark county,wisconsin",part of the population in,overlaps,has part of the population in
city,Polygon,county,Polygon,"3,203 were in Green County, and only 90 were in Rock Count","Brodhead,wisconsin","rock county,wisconsin",part of the population in,overlaps,has part of the population in
city,Polygon,county,Polygon,"5,799 of the population in","Edgerton,wisconsin","rock county,wisconsin",part of the population in,overlaps,has part of the population in
city,Polygon,county,Polygon,most of the population in,"Watertown,wisconsin","jefferson county,wisconsin",part of the population in,overlaps,has part of the population in
building,Polygon,city,Polygon,"""It is in the northwestern part of Greater Los Angeles, approximately 15 miles (24 km) from the city of Los Angeles and 40 miles (64 km) from Downtown.""","Greater Los Angeles, California","Los Angeles, California",part of/south part of,within,is part of
city,Polygon,county,Polygon,"""The city lies in Galveston and Harris Counties.""","Friendswood, Texas","Galveston County, Texas",partially lies in,overlaps,is partly in
city,Polygon,county,Polygon,"""The city lies in Galveston and Harris Counties.""","Friendswood, Texas","Harris County, Texas",partially lies in,overlaps,is partly in
town,Polygon,municipality,Polygon, with a small portion extending into,"Berlin,wisconsin","town of aurora ,wisconsin",partly extending into,overlaps,extend into
city,MultiPolygon,municipality,Polygon,partially within,"Thorp,wisconsin","town of thorp,wisconsin",partly in,touches,is partly in
city,MultiPolygon,municipality,Polygon,partially within,"Thorp,wisconsin","town of withee ,wisconsin",partly in,touches,is partly in
city,Polygon,municipality,Polygon,small portion lies within,"Columbus,wisconsin","elba ,wisconsin",partly in,touches,is partly in
city,Polygon,municipality,Polygon,small portion lies within,"Mondovi,wisconsin","town of naples ,wisconsin",partly in,touches,is partly in
city,MultiPolygon,island,Polygon,partially in,"Menasha,wisconsin","doty island,wisconsin",partly in,overlaps,is partly in
town,MultiPolygon,municipality,MultiPolygon,partially within,"Lake Mills,wisconsin","town of lake mills ,wisconsin",partly in,touches,is partly in
city,Polygon,county,Polygon,partly in,"Cuba City,wisconsin","lafayette county,wisconsin",partly in,overlaps,is partly in
town,MultiPolygon,municipality,Polygon,partially within,"Chilton,wisconsin","town of chilton ,wisconsin",partly in,touches,is partly in
city,MultiPolygon,municipality,MultiPolygon,partially within,"Cumberland,wisconsin","town of cumberland ,wisconsin",partly in,overlaps,is partly in
city,Polygon,county,Polygon,Columbus is a city in Columbia (mostly) and Dodge Counties,"Columbus,wisconsin","dodge,wisconsin",partly in,overlaps,is partly in
city,MultiPolygon,county,Polygon,a small portion in,"Eau Claire,wisconsin","chippewa county,wisconsin",partly in,overlaps,is partly in
city,Polygon,municipality,Polygon,partially within,"Delavan,wisconsin","town of delavan,wisconsin",partly in,touches,is partly in
highway,LineString,city,Polygon,"""U.S. Highway 66 also passed through the city.""","U.S. Highway 66, Texas","Amarillo, Texas",passed through,crosses,passed through
city,Polygon,water,Polygon,"""Lewisville's proximity to Lewisville Lake has made it a recreational hub of the Dallas‚ÄìFort Worth metroplex.""","Lewisville, Texas","Lewisville Lake, Texas",proximity to,overlaps,proximity to
town,Polygon,city,MultiPolygon,"""Hogan lived in Dublin until 1921, when he and his family relocated to Fort Worth.""","Dublin, Texas","Fort Worth, Texas",relocated to,disjoint,relocated to
town,Polygon,tourism,Polygon,"""American jurist and 1924 Texas Republican gubernatorial nominee George C. Butte married and resided in Dublin for several years and is interred there at Live Oak Cemetery.""","Dublin, Texas","none, Texas",resided in,disjoint,is located in
town,Polygon,municipality,Polygon,separate from,"Delafield,wisconsin","town of delafield,wisconsin",separate from,touches,separate from
city,Polygon,river,LineString,"""The city is separated from Sacramento by the Sacramento River, which also separates Sacramento and Yolo counties.""","west Sacramento, California","Sacramento, California",separate from,disjoint,separate from
city,Polygon,city,Polygon,"""Laguna Woods became Orange County‚Äôs 32nd city on March 24, 1999, after local residents voted to separate from Laguna Hills.""","Laguna Woods, California","Laguna Hills, California",separate from,touches,separate from
village,Polygon,town,Polygon,"""Texhoma is a divided city with the Texas-Oklahoma state border separating the city from Texhoma, Oklahoma.""","Texhoma, Texas","Texhoma,Oklahoma",separate from,touches,separate from
city,Polygon,aeroway,Polygon,"""Unique to suburbs of Dallas and Fort Worth, the city of Mesquite is served by its own local airport, Mesquite Metro Airport.""","Mesquite, Texas","Mesquite Metro Airport, Texas",served by,overlaps,served by
city,MultiPolygon,protected_area,MultiPolygon,"""Porterville serves as a gateway to Sequoia National Forest, Giant Sequoia National Monument and Kings Canyon National Park.""","Porterville, California","Sequoia National Forest, California",serves as a gateway to,disjoint,serves as a gateway to
town,Polygon,leisure,MultiPolygon,"""Twentynine Palms serves as one of the entry points to Joshua Tree National Park.""","Twentynine Palms, California","Joshua Tree National Park, California",serves as entry points to,overlaps,serves as entry points to
city,Polygon,town,Polygon,"""Monte Sereno shares the 95030 ZIP code with the town of Los Gatos.""","Monte Sereno, California","Los Gatos, California",shares,touches,share border with
town,Polygon,town,Polygon,"""The city shares its borders with Clayton, Lafayette, Alamo, Pleasant Hill, and Concord.""","Walnut Creek, California","Clayton, California",shares its borders with,touches,share border with
town,Polygon,town,Polygon,"""The city shares its borders with Clayton, Lafayette, Alamo, Pleasant Hill, and Concord.""","Walnut Creek, California","Lafayette, California",shares its borders with,touches,share border with
town,Polygon,census,Polygon,"""The city shares its borders with Clayton, Lafayette, Alamo, Pleasant Hill, and Concord.""","Walnut Creek, California","Alamo, California",shares its borders with,touches,share border with
town,Polygon,census,Polygon,"""It is mostly surrounded by the city of Los Angeles, but also shares a border with the unincorporated area of Ladera Heights.""","Culver City, California","Ladera Heights, California",shares its borders with,touches,share border with
town,Polygon,city,MultiPolygon,"""The city shares its borders with Clayton, Lafayette, Alamo, Pleasant Hill, and Concord.""","Walnut Creek, California","Concord,california",shares its borders with,touches,share border with
town,MultiPolygon,census,MultiPolygon,"Besides Roseville, it shares borders with Granite Bay, Loomis and Lincoln","Rocklin,california","Granite Bay, california",shares its borders with,touches,share border with
town,MultiPolygon,town,Polygon,"Besides Roseville, it shares borders with Granite Bay, Loomis and Lincoln","Rocklin,california","Loomis, california",shares its borders with,touches,share border with
town,MultiPolygon,town,MultiPolygon,"Besides Roseville, it shares borders with Granite Bay, Loomis and Lincoln","Rocklin,california","Lincoln, california",shares its borders with,touches,share border with
town,Polygon,town,Polygon,"It covers a total area of 27.8 square miles (72 km2), about half of the valley, which it shares with the is neighboring city of San Jacinto","Hemet,california","San Jacinto, california",shares its borders with,touches,share border with
city,Polygon,city,Polygon,"""In addition, it shares the U.S.-Mexico border with the city of Nuevo Progreso, Tamaulipas.""","Progreso Lakes, Texas","Nuevo Progreso, Mexico",shares the border with,touches,share border with
city,MultiPolygon,island,Polygon,"It is sometimes referred to as a twin city with Menasha, with which it shares Doty Island.","Neenah,wisconsin","doty island ,wisconsin",shares the land with ,overlaps,shares the land with 
city,MultiPolygon,city,MultiPolygon,"It is sometimes referred to as a twin city with Menasha, with which it shares Doty Island.","Neenah,wisconsin","menasha,wisconsin",shares the land with ,touches,shares the land with 
town,Polygon,amenity,Polygon,"""As of the 2020 census, Mount Pleasant's population was 16,047; it is situated in Northeast Texas.""","Mount Pleasant, Texas",Northeast Texas,situated in,disjoint,is located in
city,Polygon,county,Polygon,"""College Station is a city in Brazos County, Texas, situated in East-Central Texas in the heart of the Brazos Valley, towards the eastern edge of the region known as the Texas Triangle.""","College Station, Texas","Brazos County, Texas",situated in,within,is located in
city,MultiPolygon,water,Polygon,"It is situated on the banks of Lake Winnebago, Little Lake Butte des Morts, and the Fox River,","Neenah,wisconsin","lake winnebago,wisconsin",situated on,overlaps,is situated on
city,MultiPolygon,water,LineString,situated on,"Kaukauna,wisconsin","fox river,wisconsin",situated on,crosses,is situated on
city,MultiPolygon,water,Polygon,situated on,"Lake Geneva,wisconsin","geneva lake,wisconsin",situated on,overlaps,is situated on
suburb,Polygon,harbour,Polygon,"""Palos Verdes Estates (Palos Verdes, Spanish for ""Green Sticks"") is a city in Los Angeles County, California, United States, situated on the Palos Verdes Peninsula.""","Palos Verdes Estates, California","Palos Verdes Peninsula, California",situated on,overlaps,is situated on
city,MultiPolygon,water,LineString,"It is situated on the banks of Lake Winnebago, Little Lake Butte des Morts, and the Fox River,","Neenah,wisconsin","fox river,wisconsin",situated on,crosses,is situated on
city,MultiPolygon,water,Polygon,"It is situated on the banks of Lake Winnebago, Little Lake Butte des Morts, and the Fox River","Neenah,wisconsin","little lake butte des morts,wisconsin",situated on,overlaps,is situated on
town,MultiPolygon,water,Polygon,Situated on Lake Lyndon B. Johnson and the south branch of the Colorado River,"Horseshoe Bay,texas",Lake Lyndon B. Johnson,situated on,overlaps,is situated on
town,MultiPolygon,river,LineString,Situated on Lake Lyndon B. Johnson and the south branch of the Colorado River,"Horseshoe Bay,texas","Colorado River, Texas",situated on,crosses,is situated on
village,Polygon,peninsula,Polygon,"Situated on the Monterey Peninsula, Carmel is known for its natural scenery and rich artistic history.","Carmel-by-the-Sea,california","Monterey Peninsula,california",situated on,touches,is situated on
city,Polygon,country,MultiPolygon,"""Situated on the Mexican border, it is linked economically with the much larger city of Mexicali, the capital of the Mexican state of Baja California.""","Calexico, California",Mexico,situated on the border,touches,is situated on
city,MultiPolygon,municipality,Polygon,mostly in,"Menasha,wisconsin","town of harrison,wisconsin",small portion in,touches,has small portion in
city,Polygon,county,Polygon,"""El Paso stands on the Rio Grande across the Mexico‚ÄìUnited States border from Ciudad Juárez, the most-populous city in the Mexican state of Chihuahua with over 1.5 million people.""","El Paso, Texas",Rio Grande ,stands on,touches,stands on
city,Polygon,water,LineString,straddles,"Stoughton,wisconsin","yahara river,wisconsin",straddle,crosses,straddles
city,Polygon,county,Polygon,straddling,"Wisconsin Dells,wisconsin","adams,wisconsin",straddle,overlaps,straddles
city,Polygon,county,Polygon,straddling,"Wisconsin Dells,wisconsin","columbia,wisconsin",straddle,overlaps,straddles
city,Polygon,county,Polygon,straddling,"Wisconsin Dells,wisconsin","juneau,wisconsin",straddle,overlaps,straddles
city,Polygon,county,Polygon,straddling,"Wisconsin Dells,wisconsin","sauk,wisconsin",straddle,overlaps,straddles
suburb,Polygon,highway,LineString,The district straddles a 7-mile (11 km) stretch of Interstate 10 (the Katy Freeway),Greater Houston,Interstate 10,straddle,crosses,straddles
city,Polygon,city,MultiPolygon,"""Wylie is a city and northeastern suburb of Dallas, that was once solely located in Collin County, but now extends into is neighboring Dallas and Rockwall counties in the U.S. state of Texas.""","Wylie, Texas","Dallas, Texas",suburb,disjoint,is suburb of
